feature,importance,importance_std
garantia_credito,18.279529027702228,0.3288869833279498
plazo_credito,4.64688812696525,0.24713347728174215
categoria,1.686968992138403,0.142159242103045
monto_credito,1.0457843511813916,0.047996133646473614
saldo_prom_activo,0.37167449743237546,0.06454671456415362
ingreso_reportado,0.2082592071401062,0.03154988168061136
saldo_total,0.1735113138491256,0.022960976049784528
dti_monto_sobre_ingreso,0.09233929416391815,0.015980169555449432
edad,0.09090994215814377,0.023007243871354038
maximo_dias_mora,0.08695709533259688,0.0081984492526557
cantidad_productos_pasivos,0.05448376381137221,0.00910236566804542
saldo_productos_activos,0.048709142953445105,0.006666577188572635
cuota_aprox,0.015521005438115142,0.006402901425800147
cantidad_productos_activos,0.015457612184318315,0.006736057800515866
plazo_x_score,0.006921025858390184,0.005811196578551528
estado_civil,0.006122474232559671,0.0036936214007990535
saldo_en_competencia,0.004680589601346518,0.002901572794842377
saldo_prom_pasivo,0.004554220401117348,0.00243464188198231
ratio_competencia_total,0.0036650704936683986,0.0023176886577029225
calificacion_crediticia,0.0035604012011855703,0.0019940691114037536
productos_totales,0.003299452128823166,0.001594104633091276
saldo_productos_pasivos,0.0029603669777088725,0.004247406940323415
ratio_pasivos_total,0.0020797181286172695,0.0021555267277696094
genero,0.00036819828622620677,0.00030021266185754024
ratio_pasivos_activos,0.0002799204209159356,0.0003559591190197133
monto_por_mes,0.0,0.0
id,0.0,0.0
log1p_ingreso_reportado,0.0,0.0
log1p_monto_credito,0.0,0.0
log1p_saldo_en_competencia,0.0,0.0
log1p_saldo_productos_pasivos,0.0,0.0
log1p_saldo_productos_activos,0.0,0.0
log1p_saldo_total,0.0,0.0
edad_x_score,-0.002273180273938369,0.0023516872949519083
ratio_activos_total,-0.007922950726819788,0.0009692917201430375
